0,1,2,3,4,5,6,7
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",9809812b-78aa-4ec7-be61-ca266d9cf419,Казанское Авиапредприятие АО,МИ-8,2024-04-01,0.0,29.745977468122927
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",b42286dd-d5b6-44a3-9e58-ec8deac02b9b,Поляр-Авиа ООО,МИ-8,2024-04-01,20.0,27.87801991820783
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",901853d4-1acf-4dd9-957c-6965b4cfafb6,Витязь-Аэро АК ООО,МИ-8,2024-04-01,54.0,0.0
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",f3922a19-c972-4bc1-9aa2-733e9f490e9d,Авиакомпания Геликс Аэро ООО,МИ-8,2024-04-01,8.75,27.071744671576656
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",3fa075bf-4ca5-4db7-b7af-c0228555f89e,Авиакомпания Лидер ООО,МИ-8,2024-04-01,,49.08841595887824
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",1356f9a7-3f81-4eda-a6ea-f88d12a68285,Авиация Колымы ОГУП,МИ-8,2024-04-01,,28.471842081915806
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",35e5d176-59ee-48b2-9355-cbe96aa711e4,Авиационная компания Ямал (АК Ямал) ООО,МИ-8,2024-04-01,,45.63154750117914
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",cf488b94-7506-46bb-8b2f-faeaffc8cd33,Компания по развитию скоростного судоходства Водолет ООО,МИ-8,2024-04-01,,28.473905497018706
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_82d32423453111e7819b00155d65375e,Русские Вертолетные Системы АО,АНСАТ,2024-04-01,13.666666666666668,0.0
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",6c502b27-0954-4bf1-b4ff-fd2235796ca0,Транспортный навигационный центр АО,АНСАТ,2024-04-01,20.75,22.203170982492605
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_2020d168dfc911e781c800155d653764,Костромское авиапредприятие АО,АНСАТ,2024-04-01,26.291666666666664,18.440511531120453
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",adf9b1cd-e760-4f9f-984d-d402fbf4561c,Парма АК ООО,АНСАТ,2024-04-01,,15.233951517256742
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_ab43438f32a311e4858200155d653601,Аэросервис ,Л-410,2024-04-01,46.0,37.76509966611248
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_e8d8acf0ce8911e781c100155d653764,Сибирская легкая авиация,Л-410,2024-04-01,45.819444444444436,40.67726650780756
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_1866d030af5b11e781b600155d653764,2-ой Архангельский объединенный авиаотряд АО,Л-410,2024-04-01,36.666666666666664,33.75226637573306
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",52d96b69-aea4-48f4-a341-6b91bf71459b,Хабаровские авиалинии КГУП,Л-410,2024-04-01,51.72222222222223,64.8909605911446
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_8231f8295a6a11e2bfe8d485646afacc,Комиавиатранс АО,Л-410,2024-04-01,0.0,0.0
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_bae74587320511e6815300155d653a4d,Якутия АК АО,SSJ-100,2024-04-01,164.88888888888889,62.55140818397559
2025-11-10 19:10:31.319762,"Налеты, пассажиропоток АВИА 2025.07.xlsx",БУХ_c71869ce8f3511e3b42300155d653601,ИрАэро АК АО,SSJ-100,2024-04-01,219.07142857142853,55.68166320161933
